Meadow,Site,Elevation,Species1,Species2,Schoener
i,5,684.5,Conyza sp#,ZDensityHymenopteraTOTAL,0.279820755
i,4,702.4,Trifolium campestre,ZDensityHymenopteraTOTAL,0.280102477
i,7,648.5,Polygala comosa,ZDensityHymenopteraTOTAL,0.281869078
i,1,766.3,Plantago media,ZDensityHymenopteraTOTAL,0.282292994
a,6,981.9,Rosa sp#,ZDensityHymenopteraTOTAL,0.283396947
a,6,981.9,Veronica teucrium,ZDensityHymenopteraTOTAL,0.283396947
i,2,737.4,Lotus maritimus,ZDensityHymenopteraTOTAL,0.283590595
o,4,1576.2,Helianthemum nummularium,ZDensityHymenopteraTOTAL,0.2862481
a,6,981.9,Trifolium montana,ZDensityHymenopteraTOTAL,0.287207739
i,2,737.4,Echium vulgare,ZDensityHymenopteraTOTAL,0.28768203
i,5,684.5,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.289487679
i,5,684.5,Crepis sp#,ZDensityHymenopteraTOTAL,0.289622306
o,4,1576.2,Aegopodium podagraria,ZDensityHymenopteraTOTAL,0.289638789
u,2,1749.2,Veronica officinalis,ZDensityHymenopteraTOTAL,0.290137321
i,6,702.2,Aster amellus,ZDensityHymenopteraTOTAL,0.290487205
i,5,684.5,Rosa sp#,ZDensityHymenopteraTOTAL,0.291272494
i,3,711.5,Medicago lupulina,ZDensityHymenopteraTOTAL,0.291708292
o,4,1576.2,Carlina acaulis,ZDensityHymenopteraTOTAL,0.292076868
i,5,684.5,Aster amellus,ZDensityHymenopteraTOTAL,0.293905262
i,5,684.5,Orchis ustulata,ZDensityHymenopteraTOTAL,0.294473291
i,5,684.5,Verbena officinalis,ZDensityHymenopteraTOTAL,0.294473291
a,3,949.8,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.295202952
n,4,1420,Atroba belladonna,ZDensityHymenopteraTOTAL,0.296418576
i,5,684.5,Centaurea sp#,ZDensityHymenopteraTOTAL,0.297517053
i,3,711.5,Verbena officinalis,ZDensityHymenopteraTOTAL,0.298569355
a,3,949.8,Stachys officinalis,ZDensityHymenopteraTOTAL,0.299024776
i,7,648.5,Lotus maritimus,ZDensityHymenopteraTOTAL,0.300161761
u,2,1749.2,Trifolium montana,ZDensityHymenopteraTOTAL,0.300422527
i,3,711.5,Centaurea sp#,ZDensityHymenopteraTOTAL,0.300880329
n,3,1407.7,Cirsium arvense,ZDensityHymenopteraTOTAL,0.301174658
i,7,648.5,Viola sp#,ZDensityHymenopteraTOTAL,0.301464255
i,5,684.5,Potentilla sp#,ZDensityHymenopteraTOTAL,0.301548915
i,6,702.2,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.302043177
u,2,1749.2,Lamium album,ZDensityHymenopteraTOTAL,0.302218269
o,4,1576.2,Galium sp#,ZDensityHymenopteraTOTAL,0.302907277
a,5,1001,Rubus sp#,ZDensityHymenopteraTOTAL,0.303486888
o,4,1576.2,Polygala alpestris,ZDensityHymenopteraTOTAL,0.304005109
